"Name","Quantity","Price (per part)","Link"
"GUVA-S12SD UV Sensor Photodiode","1","$1.76","https://www.aliexpress.us/item/3256806350705812.html"
"DS18B20 Temperature Sensor","1","$0.2328","https://jlcpcb.com/partdetail/MSKSEMI-DS18B20MS/C5379069"
"Ceramic Capacitor SMD","2","$0.0007","https://jlcpcb.com/partdetail/1907-0402CG220J500NT/C1555"
"Electrolytic Capacitor SMD","2","$0.0332","https://jlcpcb.com/partdetail/14236-CL31A106KBHNNNE/C13585"
"Probe Housing","1","$0.3170","https://www.aliexpress.us/item/3256807782132862.html"
"Epoxy resin","~1 mL","$0.01","https://www.walmart.com/ip/Epoxy-Resin-1-Gallon-Kit-Art-Resin-for-DIY-Jewelry-Tabletops-Crystal-Clear-High-Performance-Resin-Epoxy/5478464246?wmlspartner=imp_27795"
"Membrane fiber filter","1","$0.29","https://grupovoces.com/products/47mm-glass-fiber-filters-advantec-gc-90-100-pk-advantec"
"Clarified polypropylene (PP)","~7.5 g","$0.0075","Would need to contact a factory or ODM. Price taken from internet averages."
